AS OF 01/05/2019

CODE    ,PROCEDURE DESCRIPTION         ,BEGIN DATE,END DATE  ,PRIOR AUTHORIZATION REQUIRED  ,FEE (AGE 21+),FEE (UNDER 21),MAX UNITS,FACILITY PRICING,MANUAL PRICING,COVERED BENEFIT,
D5862   ,PRECISION ATTACHMENT  BY REPORT                                                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5863   ,OVERDENTURE - COMPLETE MAXILLARY                                                                                                                                                                                                                                                                                                ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5864   ,OVERDENTURE - PARTIAL MAXILLARY                                                                                                                                                                                                                                                                                                 ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5865   ,OVERDENTURE - COMPLETE MANDIBULAR                                                                                                                                                                                                                                                                                               ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5866   ,OVERDENTURE - PARTIAL MANDIBULAR                                                                                                                                                                                                                                                                                                ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5867   ,REPLACEMENT OF REPLACEABLE PART OF SEMI-PRECISION OR PRECISION ATTACHMENT (MALE OR FEMALE COMPONENT)                                                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5875   ,MODIFICATION OF REMOVABLE PROSTHESIS FOLLOWING IMPLANT SURGERY                                                                                                                                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5876   ,ADD METAL SUBSTRUCTURE TO ACRYLIC FULL DENTURE (PER ARCH)                                                                                                                                                                                                                                                                       ,01/01/2019,12/31/9999,NO                            ,$150.00   ,$150.00   ,        2,            ,YES,YES,
D5899   ,UNSPECIFIED REMOVABLE PROSTHODONTIC PROCEDURE  BY REPORT                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5911   ,FACIAL MOULAGE (SECTIONAL)                                                                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5912   ,FACIAL MOULAGE (COMPLETE)                                                                                                                                                                                                                                                                                                       ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5913   ,NASAL PROSTHESIS                                                                                                                                                                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5914   ,AURICULAR PROSTHESIS                                                                                                                                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5915   ,ORBITAL PROSTHESIS                                                                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5916   ,OCULAR PROSTHESIS                                                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5919   ,FACIAL PROSTHESIS                                                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5922   ,NASAL SEPTAL PROSTHESIS                                                                                                                                                                                                                                                                                                         ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5923   ,OCULAR PROSTHESIS  INTERIM                                                                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5924   ,CRANIAL PROSTHESIS                                                                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5925   ,FACIAL AUGMENTATION IMPLANT PROSTHESIS                                                                                                                                                                                                                                                                                          ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5926   ,NASAL PROSTHESIS  REPLACEMENT                                                                                                                                                                                                                                                                                                   ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5927   ,AURICULAR PROSTHESIS  REPLACEMENT                                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5928   ,ORBITAL PROSTHESIS  REPLACEMENT                                                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5929   ,FACIAL PROSTHESIS  REPLACEMENT                                                                                                                                                                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5931   ,OBTURATOR PROSTHESIS  SURGICAL                                                                                                                                                                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5932   ,OBTURATOR PROSTHESIS  DEFINITIVE                                                                                                                                                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5933   ,OBTURATOR PROSTHESIS  MODIFICATION                                                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5934   ,MANDIBULAR RESECTION PROSTHESIS WITH GUIDE FLANGE                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5935   ,MANDIBULAR RESECTION PROSTHESIS WITHOUT GUIDE FLANGE                                                                                                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5936   ,OBTURATOR/PROSTHESIS  INTERIM                                                                                                                                                                                                                                                                                                   ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5937   ,TRISMUS APPLIANCE (NOT FOR TM TREATMENT)                                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5951   ,FEEDING AID                                                                                                                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5952   ,SPEECH AID PROSTHESIS  PEDIATRIC                                                                                                                                                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5953   ,SPEECH AID PROSTHESIS  ADULT                                                                                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5954   ,PALATAL AUGMENTATION PROSTHESIS                                                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5955   ,PALATAL LIFT PROSTHESIS  DEFINITIVE                                                                                                                                                                                                                                                                                             ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5958   ,PALATAL LIFT PROSTHESIS  INTERIM                                                                                                                                                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5959   ,PALATAL LIFT PROSTHESIS  MODIFICATION                                                                                                                                                                                                                                                                                           ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5960   ,SPEECH AID PROSTHESIS  MODIFICATION                                                                                                                                                                                                                                                                                             ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5982   ,SURGICAL STENT                                                                                                                                                                                                                                                                                                                  ,11/10/2014,12/31/9999,YES                           ,$311.60   ,$380.00   ,        2,            ,YES,YES,
D5983   ,RADIATION CARRIER                                                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5984   ,RADIATION SHIELD                                                                                                                                                                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5985   ,RADIATION CONE LOCATOR                                                                                                                                                                                                                                                                                                          ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5986   ,FLUORIDE GEL CARRIER                                                                                                                                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5987   ,COMMISSURE SPLINT                                                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5988   ,SURGICAL SPLINT                                                                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5991   ,Vesiculobullous disease medicament carrier                                                                                                                                                                                                                                                                                      ,01/01/2009,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5992   ,ADJUST MAXILLOFACIAL PROSTHETIC APPLIANCE                                                                                                                                                                                                                                                                                       ,01/01/2011,12/31/9999,NO                            ,$0.00     ,$0.00     ,   999999,            ,YES,NO ,
D5993   ,Maintenance and cleaning of a maxillofacial prosthesis (extra- or intra-oral) other than required adjustments  by report                                                                                                                                                                                                        ,01/01/2011,12/31/9999,NO                            ,$0.00     ,$0.00     ,   999999,            ,YES,NO ,
D5994   ,PERIDONTAL MEDICAMENT CARRIER WITH PERIPHERAL SEAL - LABORATORY PROCESSED                                                                                                                                                                                                                                                       ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D5999   ,MAXILLARY SURG SPLINTS                                                                                                                                                                                                                                                                                                          ,09/01/1990,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6010   ,SURGICAL PLACEMENT OF IMPLANT BODY   ENDOSTEAL IMPLANT                                                                                                                                                                                                                                                                          ,09/01/2009,12/31/9999,YES                           ,$615.00   ,$750.00   ,        1,            ,YES,YES,
D6011   ,SECOND STAGE IMPLANT SURGERY                                                                                                                                                                                                                                                                                                    ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6012   ,SURGICAL PLACEMENT OF INTERIM IMPLANT BODY FOR TRANSITIONAL PROSTHESIS  ENDOSTEAL IMPLANT                                                                                                                                                                                                                                       ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6013   ,SURGICAL PLACEMENT OF MINI IMPLANT                                                                                                                                                                                                                                                                                              ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6040   ,SURGICAL PLACEMENT   EPOSTEAL IMPLANT                                                                                                                                                                                                                                                                                           ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6050   ,SURGICAL PLACEMENT   TRANSOSTEAL IMPLANT                                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6051   ,INTERIM ABUTMENT                                                                                                                                                                                                                                                                                                                ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6052   ,SEMI-PRECISION ATTACHMENT ABUTMENT                                                                                                                                                                                                                                                                                              ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6055   ,CONNECTING BAR - IMPLANT SUPPORTED OR ABUTMENT SUPPORTED                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6056   ,PREFABRICATED ABUTMENT - INCLUDES MODIFICATION AND PLACEMENT                                                                                                                                                                                                                                                                    ,09/01/2009,12/31/9999,YES                           ,$307.50   ,$375.00   ,        1,            ,YES,YES,
D6057   ,CUSTOM FABRICATED ABUTMENT - INCLUDES PLACEMENT                                                                                                                                                                                                                                                                                 ,06/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6058   ,ABUTMENT SUPPORTED PORCELAIN/CERAMIC CROWN                                                                                                                                                                                                                                                                                      ,09/01/2009,12/31/9999,YES                           ,$307.50   ,$375.00   ,        1,            ,YES,YES,
D6059   ,ABUTMENT SUPPORTED PORCELAIN FUSED TO METAL CROWN (HIGH NOBLE METAL)                                                                                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6060   ,ABUTMENT SUPPORTED PORCELAIN FUSED TO METAL CROWN (PREDOMINANTLY BASE METAL)                                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6061   ,ABUTMENT SUPPORTED PORCELAIN FUSED TO METAL CROWN (NOBLE METAL)                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6062   ,ABUTMENT SUPPORTED CAST METAL CROWN (HIGH NOBLE METAL)                                                                                                                                                                                                                                                                          ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6063   ,ABUTMENT SUPPORTED CAST METAL CROWN (PREDOMINANTLY BASE METAL)                                                                                                                                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6064   ,ABUTMENT SUPPORTED CAST METAL CROWN (NOBLE METAL)                                                                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6065   ,IMPLANT SUPPORTED PORCELAIN/CERAMIC CROWN                                                                                                                                                                                                                                                                                       ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6066   ,IMPLANT SUPPORTED PORCELAIN FUSED TO METAL CROWN (TITANIUM  TITANIUM ALLOY      HIGH NOBLE METAL)                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6067   ,IMPLANT SUPPORTED METAL CROWN (TITANIUM  TITANIUM ALLOY  HIGH NOBLE METAL)                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6068   ,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN/CERAMIC FPD                                                                                                                                                                                                                                                                           ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6069   ,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (HIGH NOBLE METAL)                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6070   ,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (PREDOMINANTLY     BASE METAL)                                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6071   ,ABUTMENT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (NOBLE METAL)                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6072   ,ABUTMENT SUPPORTED RETAINER FOR CAST  METAL FPD (HIGH NOBLE METAL)                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6073   ,ABUTMENT SUPPORTED RETAINER FOR CAST  METAL FPD (PREDOMINANTLY BASE METAL)                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6074   ,ABUTMENT SUPPORTED RETAINER FOR CAST  METAL FPD (NOBLE METAL)                                                                                                                                                                                                                                                                   ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6075   ,IMPLANT SUPPORTED RETAINER FOR CERAMIC FPD                                                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6076   ,IMPLANT SUPPORTED RETAINER FOR PORCELAIN FUSED TO METAL FPD (TITANIUM  TITANIUM ALLOY  OR HIGH NOBLE METAL)                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6077   ,IMPLANT SUPPORTED RETAINER FOR CAST METAL FPD (TITANIUM  TITANIUM ALLOY  OR     HIGH NOBLE METAL)                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6080   , Implant maintenance procedures when prostheses are removed and reinserted  including cleansing of prostheses and abutments                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6081   ,SCALING AND DEBRIDEMENT IN THE PRESENCE OF INFLAMMATION OR MUCOSITIS OF A SINGLE IMPLANT  INCLUDING CLEANING OF THE IMPLANT SURFACES  WITHOUT FLAP ENTRY AND CLOSURE                                                                                                                                                            ,01/01/2017,12/31/9999,YES                           ,$70.00    ,$70.00    ,        1,            ,YES,YES,
D6085   ,PROVISIONAL IMPLANT CROWN                                                                                                                                                                                                                                                                                                       ,01/01/2017,12/31/9999,YES                           ,$200.00   ,$200.00   ,        1,            ,YES,YES,
D6090   ,REPAIR IMPLANTSUPPORTED PROSTHESIS BY REPORT                                                                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6091   ,REPLACEMENT OF SEMI-PRECISION OR PRECISION ATTACHMENT (MALE OR FEMALE COMPONENT) OF IMPLANT/ABUTMENT SUPPORTED PROSTHESIS  PER ATTACHMENT                                                                                                                                                                                       ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6092   ,Re-cement or re-bond implant/abutment supported crown                                                                                                                                                                                                                                                                           ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6093   ,Re-cement or re-bond implant/abutment supported fixed partial denture                                                                                                                                                                                                                                                           ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6094   ,ABUTMENT SUPPORTED CROWN - (TITANIUM)                                                                                                                                                                                                                                                                                           ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6095   ,REPAIR IMPLANT ABUTMENT  BY REPORT                                                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6096   ,REMOVE BROKEN IMPLANT RETAINING SCREW                                                                                                                                                                                                                                                                                           ,01/01/2018,12/31/9999,YES                           ,$584.62   ,$584.62   ,        1,            ,YES,YES,
D6100   ,IMPLANT REMOVAL  BY REPORT                                                                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6101   ,Debridement of a peri-implant defect or defects surrounding a single implant  and surface cleaning of the exposed implant surfaces  including flap entry and closure                                                                                                                                                            ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D6102   ,Debridement and osseous contouring of a peri-implant defect or defects surrounding a single implant and includes surface cleaning of the exposed implant surfaces  including flap entry and closure                                                                                                                             ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D6103   ,Bone graft for repair of peri-implant defect - does not include flap entry and closure                                                                                                                                                                                                                                          ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D6104   ,BONE GRAFT AT TIME OF IMPLANT PLACEMENT                                                                                                                                                                                                                                                                                         ,01/01/2013,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,YES,
D6110   ,IMPLANT/ABUTMENT SUPPORTED REMOVABLE DENTURE FOR EDENTULOUS ARCH - MAXILLARY                                                                                                                                                                                                                                                    ,01/01/2015,12/31/9999,YES                           ,$1120.00  ,$1120.00  ,        1,            ,YES,YES,
D6111   ,IMPLANT/ABUTMENT SUPPORTED REMOVABLE DENTURE FOR EDENTULOUS ARCH - MANDIBULAR                                                                                                                                                                                                                                                   ,01/01/2015,12/31/9999,YES                           ,$1120.00  ,$1120.00  ,        1,            ,YES,YES,
D6112   ,IMPLANT/ABUTMENT SUPPORTED REMOVABLE DENTURE FOR PARTIALLY EDENTULOUS ARCH - MAXILLARY                                                                                                                                                                                                                                          ,01/01/2015,12/31/9999,YES                           ,$1200.00  ,$1200.00  ,        1,            ,YES,YES,
D6113   ,IMPLANT/ABUTMENT SUPPORTED REMOVABLE DENTURE FOR PARTIALLY EDENTULOUS ARCH - MANDIBULAR                                                                                                                                                                                                                                         ,01/01/2015,12/31/9999,YES                           ,$1200.00  ,$1200.00  ,        1,            ,YES,YES,
D6114   ,IMPLANT/ABUTMENT SUPPORTED FIXED DENTURE FOR EDENTULOUS ARCH - MAXILLARY                                                                                                                                                                                                                                                        ,01/01/2015,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D6115   ,IMPLANT/ABUTMENT SUPPORTED FIXED DENTURE FOR EDENTULOUS ARCH - MANDIBULAR                                                                                                                                                                                                                                                       ,01/01/2015,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
